model,subset,n_features,accuracy,f1,precision,recall
lr,top-3,3,0.6350293542074364,0.1838074398249453,0.10319410319410319,0.84
lr,top-5,5,0.62720156555773,0.1841541755888651,0.10311750599520383,0.86
lr,top-8,8,0.6125244618395304,0.175,0.09767441860465116,0.84
lr,full,10,0.6477495107632094,0.18552036199095023,0.10459183673469388,0.82
lr,top-10,10,0.6477495107632094,0.18552036199095023,0.10459183673469388,0.82
rf,top-3,3,0.923679060665362,0.07142857142857142,0.08823529411764706,0.06
rf,top-5,5,0.9227005870841487,0.15053763440860216,0.16279069767441862,0.14
rf,top-8,8,0.9246575342465754,0.15384615384615385,0.17073170731707318,0.14
rf,full,10,0.9227005870841487,0.13186813186813187,0.14634146341463414,0.12
rf,top-10,10,0.923679060665362,0.13333333333333333,0.15,0.12
svm,top-3,3,0.6966731898238747,0.20918367346938777,0.11988304093567251,0.82
svm,top-5,5,0.8160469667318982,0.14545454545454545,0.09411764705882353,0.32
svm,top-8,8,0.8737769080234834,0.044444444444444446,0.03529411764705882,0.06
svm,full,10,0.8943248532289628,0.03571428571428571,0.03225806451612903,0.04
svm,top-10,10,0.8943248532289628,0.03571428571428571,0.03225806451612903,0.04
xgb,top-3,3,0.7475538160469667,0.23668639053254437,0.1388888888888889,0.8
xgb,top-5,5,0.8013698630136986,0.2222222222222222,0.13744075829383887,0.58
xgb,top-8,8,0.9510763209393346,0.0,0.0,0.0
xgb,full,10,0.4931506849315068,0.12794612794612795,0.06985294117647059,0.76
xgb,top-10,10,0.4931506849315068,0.12794612794612795,0.06985294117647059,0.76
